fake_name,Class
เซอร์วิส บจ.จีวาย คอนซัลแตนท์ แอนด์ จำกัด,firm
พีเพิล บจ.เมตา จำกัด,firm
ไรซ์พลัส บจ.แอลพีเอ็น จำกัด,firm
595 บจ.ดับเบิ้ลยู.เอ.ที เอ็มแอนด์อี คอนสตรัคชั่น ดีไซน์ จำกัด,firm
บจ.ซาเล้งคาเฟ่ จำกัด,firm
โกรว บจ.วีแพลนท์ จำกัด,firm
2021 บจ.ชาญรุ่งโรจน์ จำกัด,firm
เซอร์วิส บจ.แอฟ่า แมเนจเม้นท์ แอนด์ จำกัด,firm
คอร์ปอเรชั่น บจ.แอสเตอร์ จำกัด,firm
2021 บจ.มาดี ทำดี จำกัด,firm
เจริญโชคชัย หจ.น้ำทรัพย์ จำกัด,firm
เวลเนส บจ.เจนิส บิวตี้ แอนด์ จำกัด,firm
คลาสสิค หจ.อะไหล่ มินิ จำกัด,firm
จุง บจ.ต้า จำกัด,firm
ภูเก็ต บจ.ที แอนด์ จี จำกัด,firm
รับเหมาก่อสร้าง หจ.ธิติชัย จำกัด,firm
บจ.กำลังสองสมบูรณ์ จำกัด,firm
3ดี บจ.ออดิทและการบัญชี จำกัด,firm
(ไทยแลนด์) บจ.กังเชน อินเตอร์เนชั่นแนล จำกัด,firm
โลจิสติกส์ บจ.สีดา289 จำกัด,firm
คอนสตรัคชั่น บจ.ภูชยา เครน จำกัด,firm
ทรัพย์ทวี หจ.เป๋าตังค์ จำกัด,firm
โลจิสติกส์ บจ.แฮกเกอทัน จำกัด,firm
เทค บจ.สเกาซ์ จำกัด,firm
การบัญชี บจ.ไฮไลท์ จำกัด,firm
ทรานสปอร์ต บจ.ทองคำ2018 จำกัด,firm
บจ.ประธานการภาพ จำกัด,firm
เอ็กซ์เพรส บจ.เอส.พี. ส้มแป้น จำกัด,firm
ช็อป หจ.ภัค ไลฟ์ จำกัด,firm
ล่ำซำ บจ.ทัพพสาร จำกัด,firm
โลจิสติกส์ หจ.หงษ์ทองเพิ่มทรัพย์ จำกัด,firm
ไทยคูซีน บจ.กานต์ญ่า จำกัด,firm
รักษ์การพิมพ์ บจ.ส. จำกัด,firm
ช็อป หจ.เอ็น อาร์ ที จำกัด,firm
บจ.ทวินซิส จำกัด,firm
บจ.เรามีทรัพย์ จำกัด,firm
บจ.ฟีโน จำกัด,firm
มาสเตอร์ บจ.ไอเอสโอ จำกัด,firm
กรุ๊ป บจ.พราวด์ พรอซเพอร์ จำกัด,firm
หจ.วิสาหกิจชุมชนกลุ่มนาแปลงใหญ่หนองเขื่อง,firm
บ้านหัวประแจ หจ.แปลงใหญ่มันสำปะหลัง จำกัด,firm
ลอจิสติกส์ บจ.แบร์ แอนด์ เนเบอร์ จำกัด,firm
พร็อพเพอร์ตี้ บจ.ประพันธ์คอนสตรัคชั่น แอนด์ จำกัด,firm
บจ.สยามออกแบบและก่อสร้าง จำกัด,firm
ซุปเปอร์ บจ.เอสเคแอล จำกัด,firm
พลัส หจ.บี แอนด์ เอ็ม เดอะ ริช จำกัด,firm
ครีเอทีฟ หจ.โอ๋ทูเดย์ จำกัด,firm
หจ.กรุงเทพการระบายน้ำ,firm
โฮลดิ้งส์ บจ.ดับเบิ้ลยูดี เคนซีย์ จำกัด,firm
เซอร์วิส หจ.เอ.ที.พี. สตอป ฮ็อท แอร์ จำกัด,firm
เวฟ บจ.วี ไวด จำกัด,firm
หจ.เอส.ที.ดับเบิ้ลยู.1586,firm
การ์เด้น หจ.แอร์พอร์ต จำกัด,firm
เซฟ บจ.ดีบี จำกัด,firm
บจ.อ่อนนุชรุ่งเรือง จำกัด,firm
หจ.ภูเขาใหญ่,firm
คอร์ปอเรชั่น บจ.กมล เอ็นจิเนียริ่ง แอนด์ เซอร์วิส จำกัด,firm
เอ็นจิเนียร์ริ่ง บจ.สยามดับเบิ้ลเค จำกัด,firm
2 หจ.แปลงใหญ่คำเจริญ หมู่ จำกัด,firm
บูติค บจ.ซันไรส์ จำกัด,firm
เกื้อกูล หจ.ทรัพย์เอื้อ จำกัด,firm
อินเตอร์ บจ.โคโค่ไลท์ จำกัด,firm
เอ็นจิเนียริ่ง บจ.เก้ากฤษฎิ์ จำกัด,firm
แบ็ก บจ.เลิฟ จำกัด,firm
โปรดัคชั่น หจ.เก้าเจ จำกัด,firm
2277 บจ.ฟีลล์ จำกัด,firm
อินเตอร์เนชั่นแนล บจ.เอไอ โกลบอล จำกัด,firm
บจ.เดอะซุปเปอร์ที จำกัด,firm
888 บจ.คิว สตูดิโอ จำกัด,firm
โซลูชั่นส์ บจ.เมดิแคร์ จำกัด,firm
บจ.อินทรพรหม จำกัด,firm
เมืองน่านพืชผล บจ.จีแอนด์วาย จำกัด,firm
888 หจ.รุ่งเรืองกิจ จำกัด,firm
อะกรีคัลเจอร์ บจ.เติมเต็ม จำกัด,firm
บจ.แปลงใหญ่ลำไยบ้านใหม่เสรีธรรมตาก จำกัด,firm
(ประเทศไทย) บจ.ลอส แองเจลิส คลาสลิค กีตาร์ จำกัด,firm
2465 หจ.เค เอ็น วี. เทรดดิ้ง จำกัด,firm
คอนสตรัคชั่น หจ.เอ็นแอนด์บี 222 จำกัด,firm
บจ.เอ็นทีดีเอช จำกัด,firm
การกระจก บจ.เม้ง อลูมิเนียม จำกัด,firm
เดซี่ บจ.ฮ็อบบี้ จำกัด,firm
เอนเนอร์ยี่ บจ.เอสเจ กรีน จำกัด,firm
แสนเฮง1718 บจ.วรัญญา จำกัด,firm
ฟู๊ด หจ.มั่งมี จำกัด,firm
เซอร์วิส บจ.อาร์โก้ ทัวร์ ทราเวล จำกัด,firm
ชิปปิ้ง หจ.เจเคเค จำกัด,firm
บจ.ดีดัง จำกัด,firm
คอมมิวนิเคชั่น บจ.8 จำกัด,firm
ลีฟ บจ.บลู สไมล์ ออน จำกัด,firm
ซุปเปอร์บิ๊ก บจ.ลูกชิ้น จำกัด,firm
หจ.ดิษย์ธนา,firm
เคชิปปิ้ง บจ.เอฟดี แอนด์ จำกัด,firm
โฮเทลส์ บจ.นู แชปเตอร์ จำกัด,firm
โลจิสติกส์ หจ.ส.ดวงเด่น จำกัด,firm
2021 บจ.เคแอลที จำกัด,firm
999 บจ.ที.เอส. เอ็นจิเนียริ่ง จำกัด,firm
บจ.ไทยราชาวดี จำกัด,firm
เจพี บจ.เดอะ เกรท จำกัด,firm
บจ.ดร.ซีบีดี จำกัด,firm
อินทีเรีย บจ.ดีแอลพี อาคิเทคเจอร์ แอนด์ จำกัด,firm
สตีล บจ.วีแอล จำกัด,firm
เซอร์วิส บจ.ที แอนด์ ดี ฟอร์คลิฟท์ จำกัด,firm
แจ็คกี้ บจ.ซีอีโอ จำกัด,firm
เคมีภัณฑ์ บจ.ธนรัตน์ จำกัด,firm
แลนด์ หจ.ปิติ เพ็ทส์ จำกัด,firm
ก่อสร้าง บจ.จอห์น จำกัด,firm
89 บจ.แองเจิ้ล เอสเตท จำกัด,firm
เพิ่มพูน หจ.รังทรัพย์ จำกัด,firm
บจ.ลูกชิ้นปลาอาทร จำกัด,firm
หจ.ไอ.เอ็น.จี,firm
บจ.ลิตเติ้ลเอ็นเอ็นเอ็น จำกัด,firm
บจ.ฮารุรันมัน จำกัด,firm
บจ.แต้มทิพย์ จำกัด,firm
ทรานสปอร์ต บจ.ดี.ดับบลิว. จำกัด,firm
อินโนเวชั่น บจ.ชิกซ์ จำกัด,firm
กรุ๊ป บจ.อควาร่า อินเตอร์ จำกัด,firm
อินเตอร์ บจ.พิ้งค์ จำกัด,firm
อินเตอร์เนชั่นแนล บจ.เอื้อการย์ จำกัด,firm
คอสเมติกส์ บจ.เลิฟเวอร์ จำกัด,firm
โกรว์ บจ.วิตอัพ จำกัด,firm
โฮม บจ.แคทแนป แอท จำกัด,firm
2021 บจ.วันลดา จำกัด,firm
หจ.ศรีธราพาณิชย์,firm
เวิค บจ.เดอ เบสท์ เมทัล จำกัด,firm
แอลเอ็นดับเบิ้ลยู บจ.ยาง จำกัด,firm
ออดิทติ้ง บจ.มินทร จำกัด,firm
หจ.เอ.พี.มาร์ท,firm
บจ.ทองเอไอ จำกัด,firm
เทค บจ.เอส เค ออโต จำกัด,firm
2021 บจ.เจที จำกัด,firm
อินเทอร์วิว บจ.ฮีโร่ จำกัด,firm
แฟมิลี่ บจ.วายทีที จำกัด,firm
หจ.โรงสีชุมชนบ้านแสงทอง,firm
ทรานสปอร์ต หจ.จีรวัฒน์ จำกัด,firm
พลาสติกไทย บจ.ชลบุรี จำกัด,firm
เทรดดิ้ง หจ.พีเอ็มเอฟ จำกัด,firm
สมุย บจ.เอ เอ็น เอ จำกัด,firm
บจ.เมืองทองรุ่งเรือง จำกัด,firm
อีเว้นท์ บจ.อาร์เจ จำกัด,firm
(2021) บจ.เอพี พลัส จำกัด,firm
เอ็นจิเนียริ่ง บจ.ธน คอนสตรัคชั่น แอนด์ จำกัด,firm
ดิสทริบิวชั่น บจ.บาลานซ์ จำกัด,firm
เกาะช้าง บจ.นอซว จำกัด,firm
บจ.ศูนย์รวมของหลุดจำนำ จำกัด,firm
หจ.กำแพงแสนการบัญชี,firm
ฟิตเนส หจ.เอ.เอ็น.สปอร์ต จำกัด,firm
ซีสเท็ม บจ.เค.ที คอมพลีท จำกัด,firm
4 หจ.แปลงใหญ่บ้านดอนหลี่หมู่ จำกัด,firm
โซลูชั่น บจ.ระยอง อินดัสเทรียล จำกัด,firm
หจ.แปลงใหญ่ข้าวไม้ตรา,firm
เซอร์วิส บจ.ช้างคู่ จำกัด,firm
หจ.หมูทองห้วยราช,firm
บจ.พี.เอ.พรีซิชั่น จำกัด,firm
แอคเคาน์ติ้ง บจ.สปอต จำกัด,firm
ทรานสปอร์ต หจ.ศรีนุชเกษม จำกัด,firm
กรุ๊ป หจ.สีจะต๊ะ จำกัด,firm
สตูดิโอ บจ.ไอเอชอีอี จำกัด,firm
เซอร์วิส หจ.บิ๊กบี จำกัด,firm
888 บจ.ทรัพย์มังกร จำกัด,firm
สตูดิโอ บจ.แฟบริค ปริ้นติ้ง จำกัด,firm
คอนสตรัคชั่น บจ.เทพธนธิป เอ็นจิเนียริ่ง& จำกัด,firm
บี.เอ็ม.จี. บจ.มาไลก้า จำกัด,firm
คอนสตรัคชั่น หจ.แสนศิริมงคล จำกัด,firm
คอนสตรัคชั่น หจ.ไอริณ คาร์ฟ จำกัด,firm
เซอร์วิส หจ.พีเคพี สตอเรจ จำกัด,firm
บจ.เวลบลู จำกัด,firm
บจ.ช.เพิ่มผล จำกัด,firm
โมบิลิตี้ บจ.อีคาร์ จำกัด,firm
ไวท์ บจ.เอ็นบี จำกัด,firm
แบงค็อก บจ.ฮาบิแทท เรนทอล จำกัด,firm
เอ็กซ์เพรส หจ.ทู เอ็ม จำกัด,firm
เซลส์แอนด์เซอร์วิส บจ.หิรัญเฮิร์บ จำกัด,firm
ซัพพลาย หจ.9 ดี โฮมคอนกรีต แอนด์ จำกัด,firm
2020 หจ.ป๋อมแป๋มเคมีเกษตร จำกัด,firm
แอดวานซ์ บจ.โอภาส จำกัด,firm
โฟลทเฮ้าส์ บจ.307 จำกัด,firm
โลจิสติกส์ บจ.ดีจีแอล จำกัด,firm
เซลล์แอนด์ซัพพอร์ต บจ.บีเค จำกัด,firm
เดคคอเรท บจ.ภูเก็ต จำกัด,firm
พารวย บจ.อาณาจักร จำกัด,firm
เทคโนโลยี บจ.อินฟินิตี้ ฟอร์ซ จำกัด,firm
เบ็นเจิด บจ.ปัญจพล จำกัด,firm
เทรดดิ้ง บจ.ซิน แย่ ต๋า จำกัด,firm
กรุ๊ป บจ.เอส แอล ที แซด จำกัด,firm
คอนสตรัคชั่น หจ.รันระนา จำกัด,firm
บจ.อัมเบล จำกัด,firm
เนเจอร์ฟาร์ม หจ.อริศ จำกัด,firm
หจ.เดชธิวัฒน์,firm
บจ.เกษตรแปลงใหญ่ท้ายทุ่ง จำกัด,firm
บจ.บิ๊กลิงค์ จำกัด,firm
หจ.ข้าวหอมมะลินาแปลงใหญ่พรมเทพเหนือ,firm
เรสโตรองต์ บจ.ฉมฉุย จำกัด,firm
คอลเลคชั่น หจ.กราฟ จำกัด,firm
รุ่งเรืองกิจ หจ.ส.สมบัติ จำกัด,firm
บจ.ทรัพย์ศีลสังวรณ์ จำกัด,firm
บจ.เอสวีอีวีมาร์ท จำกัด,firm
บจ.โคโค่ฮับส์ จำกัด,firm
ซิสเต็ม บจ.จีอาร์ดี เซอร์วิส จำกัด,firm
แอดไวเซอร์ บจ.มาเอสโตร แดร์แอนด์ไวร์ จำกัด,firm
(ประเทศไทย) บจ.คอนฟิเดนท์ เบรนส์ จำกัด,firm
กิจรุ่งเรือง หจ.เอส.เค.เอส.เอฟ จำกัด,firm
เอส บจ.อ๊อตเทริ เอ็ม จำกัด,firm
บจ.กัลวรพงณ์ จำกัด,firm
เวล บจ.ไลฟ์ อิส จำกัด,firm
หจ.นาแปลงใหญ่บ้านหางแขยง,firm
ช็อป หจ.ณัฐฐาน์ จำกัด,firm
โซลูชั่น บจ.เอ็มเอ็มพี จำกัด,firm
หจ.ก้องภพการช่าง,firm
ต.ห้วยม่วง หจ.วิสาหกิจชุมชนแปลงใหญ่อ้อย จำกัด,firm
ไทยทำ บจ.ทีแอนด์ที จำกัด,firm
ค้าวัสดุภัณฑ์1987 บจ.ชัชญาไพศาล จำกัด,firm
เทสติ้ง บจ.304 พาวเวอร์ เมนเทนแนนซ์ แอนด์ จำกัด,firm
พาเดล บจ.แบงคอก จำกัด,firm
(ไทยแลนด์) บจ.ลานนา ไซเคิล แอนด์ แคร์ริเอจ จำกัด,firm
บจ.บิลด์เมท จำกัด,firm
หจ.นครพิงค์คูลลิ่ง,firm
หจ.อชิรัตน์โลจิสติกส์,firm
อินเตอร์เนชั่นแนล บจ.สกาย แอนด์ โอเชี่ยน จำกัด,firm
แอนด์มีเดีย บจ.ทีเอ็ม แอด จำกัด,firm
โลจิสติกส์ บจ.มหาสมุทร จำกัด,firm
หจ.ตันติบุตร,firm
อินเนอร์ บจ.ไอ จำกัด,firm
เดคคอเรท หจ.เคเอ็น ดีไซน์ จำกัด,firm
คอนสตรัคชั่น บจ.เพื่อนกัญ ดีไซน์ แอนด์ จำกัด,firm
บจ.ภูมิสัมปะติ จำกัด,firm
คอนซัลแทนส์ บจ.ไลท์ กรีน จำกัด,firm
(ไทย) บจ.เท็น โลจิสติกส์ จำกัด,firm
2022 หจ.ริสา ฟิวเจอร์ จำกัด,firm
6395 หจ.ธนนิธิ จำกัด,firm
ดรีม บจ.เดย์ แอนด์ จำกัด,firm
หจ.วิสาหกิจชุมชนกลุ่มนาแปลงใหญ่บ้านไพจาน,firm
88 หจ.เอกกุลทรัพย์ จำกัด,firm
หจ.สมเกียรติรุ่งเรืองก่อสร้าง,firm
คอเปอร์เรชั่น บจ.บ็อกซ์ มาสเตอร์ จำกัด,firm
ค้าเหล็ก หจ.รวยโรจน์ จำกัด,firm
วิสาหกิจเพื่อสังคม บจ.คน ช่วย คน จำกัด,firm
ฟาร์ม หจ.วรัญดา จำกัด,firm
2013 บจ.ตามรอยพ่อ จำกัด,firm
อีลีท บจ.นาสุวรรณ จำกัด,firm
ทรานสปอร์ต บจ.ซีณาย จำกัด,firm
บจ.แพกซ์เซลส์แอนด์เซอร์วิส จำกัด,firm
พรอสเพอร์ บจ.เอ็นเอสเค จำกัด,firm
168 บจ.กรีนแลนด์เฮ้าส์ จำกัด,firm
บจ.มาใหม่89 จำกัด,firm
บจ.ลาภมารุม  จำกัด,firm
กรุ๊ป บจ.ชาร์ม มี่ จำกัด,firm
เอ็มดี บจ.แมดด็อกซ์ จำกัด,firm
เซอร์วิส บจ.สามเกลอ จำกัด,firm
"บ้านโพนยาง หจ.แปลงใหญ่ข้าว กลุ่ม 1 หมู่ที่ 1,7 จำกัด",firm
เทค บจ.โคโคนัท จำกัด,firm
อีควิปเม้นท์ บจ.พีเอ็นดี จำกัด,firm
เวนเจอร์ส บจ.ไลลยาณ์ จำกัด,firm
บจ.จิรภาเวลท์ จำกัด,firm
ออดิท บจ.ทีบี จำกัด,firm
การ์ด บจ.รักษาความปลอดภัย พชรกฤต ซีเคียวริตี้ จำกัด,firm
ทราเวลแอนด์เซอร์วิส บจ.บีบี จำกัด,firm
ต.ห้วยเฮี้ย บจ.แปลงใหญ่ข้าวโพด จำกัด,firm
เทรดดิ้งแอนด์ทราเวล บจ.วิชยานฤพล จำกัด,firm
อินเตอร์เนชั่นแนล บจ.อาร์ทไมน์ด จำกัด,firm
โกล บจ.พีเคที จำกัด,firm
อินเตอร์ฟรุ๊ต บจ.ไท่หัว จำกัด,firm
เย็น หจ.แปลงใหญ่ส้มเขียวหวานสีทอง ใหม่ เมือง จำกัด,firm
ฟาร์มเมอร์ หจ.ทรัพย์ธงชัย จำกัด,firm
เมดิคอลกรุ๊ป บจ.พีเอ็มซี จำกัด,firm
เซอร์วิสเซส บจ.อีคอมเมิร์ซ คอนซัลติ้ง จำกัด,firm
คอนสตรัคชั่น บจ.เชียงใหม่ เรือนคำ จำกัด,firm
สามสลึง หจ.ไร่อ้อย จำกัด,firm
บจ.เติมสุขโภคภัณฑ์ จำกัด,firm
แม่สายนมเด็ก บจ.พีดี จำกัด,firm
เอฟ หจ.วู้ด กู๊ด จำกัด,firm
กรุ๊ป(ไทยแลนด์) บจ.ไฮ่ ไท่ จำกัด,firm
บจ.ศรีธนธีโรทัย จำกัด,firm
นครสวรรค์ หจ.เอสดี สรามิกซ์ เซ็นเตอร์ เซล จำกัด,firm
กรุ๊ป บจ.แคนดี้ จำกัด,firm
แสนสุขมหานคร บจ.ไอที จำกัด,firm
ธนันชัย249 หจ.ธ จำกัด,firm
หจ.ลภัสรดาเทรดดิ้ง,firm
หจ.ราชาสินค้าทดแทนไม้,firm
ไลฟ์ บจ.เภตรา จำกัด,firm
อาร์ต บจ.สแครมเบิ้ลด์ จำกัด,firm
ไข่สดฟาร์ม หจ.ต.ต่อ จำกัด,firm
โฮลดิ้ง หจ.เฟรส จี จำกัด,firm
ทรานส์ฟอร์ม บจ.เอสดับบลิวเค จำกัด,firm
เซ็นเตอร์ บจ.แอคท์ เซอร์วิส จำกัด,firm
กรุ๊ป บจ.โกลกรีน เวลเนส จำกัด,firm
เครนขนส่ง หจ.ทีทีพี จำกัด,firm
โลจิสติกส์ บจ.แฮปปี้ เอ็กซ์เพรส จำกัด,firm
ปิโตรเลียม หจ.เพชรชะอำ จำกัด,firm
9 บจ.กันกุล วินด์ พาวเวอร์ จำกัด,firm
กรุ๊ป บจ.เดอะ ทีดับบลิว ซัน จำกัด,firm
ณรงค์ศักดิ์ หจ.จิดาภา จำกัด,firm
เน็ตเวิร์ค หจ.เอส เค ซิสเต็มส์ จำกัด,firm
หจ.ยาวซังอะไหล่ยนต์,firm
ค้าผ้า หจ.เจมส์ จำกัด,firm
เอ็นเนอยี่ บจ.แกรนด์ซัน โซลาร์ จำกัด,firm
แอดเวนเจอร์ บจ.เคพี จำกัด,firm
แอดไวเซอรี่ บจ.แบงค็อก ลีกัล แอนด์ จำกัด,firm
การาจ บจ.ท็อปเท็น จำกัด,firm
ซัพพลาย บจ.โอดับบลิวเค จำกัด,firm
ซัพพลายส์ หจ.เคแอนด์เค จำกัด,firm
การประเมิน หจ.สามมิตร จำกัด,firm
หจ.กฤษณาพาณิชย์,firm
บจ.เกรทไอซ์สระบุรี จำกัด,firm
บจ.เบอร์ จำกัด,firm
(2564) บจ.นาคแก้ว จำกัด,firm
บจ.ดีเอ็มควินเตสเซนซ์ จำกัด,firm
บจ.ไร่ชมวิมาน จำกัด,firm
สยาม บจ.โฟร์ วอลส์ จำกัด,firm
คอนสตรัคชั่น บจ.โอทีพี 2020 จำกัด,firm
เอ็นเตอร์ไพรส์ บจ.หลานหลวง จำกัด,firm
หจ.สิริมงคลเซอร์วิส(2015),firm
แกรนด์ หจ.บีเอ็น จำกัด,firm
ไอ บจ. ที บี ดี จำกัด,firm
เซอร์วิส บจ.ศิริ ซัพพลาย แอนด์ จำกัด,firm
แอสเซทส์ บจ.เลค วิว จำกัด,firm
โปรโลจิสติก บจ.นีโอ จำกัด,firm
ทีม หจ.พีพีเอ คอนสตรัคชั่น จำกัด,firm
มาริฟานา บจ.บางกอก จำกัด,firm
คอนซัลติ้ง บจ.กู๊ด ดีล จัสทิส จำกัด,firm
อาร์คิเทคท์ บจ.อารยา คุโบตะ จำกัด,firm
คอสโม่ บจ.ไดม่อน จำกัด,firm
ใบบัวการก่อสร้าง หจ.น จำกัด,firm
หจ.วัชรภัทร์เซอร์วิส,firm
อีวี บจ.ชูเกียรติ จำกัด,firm
ลามิเนต บจ.พี.ดี.เอ็น. จำกัด,firm
บจ.เฟซแคร์เอสเธติก จำกัด,firm
เฮอร์ริเทจ บจ.420 กรีน จำกัด,firm
หจ.เอสทีพาวเวอร์ไลท์,firm
อีอาร์เอส บจ.กิจการร่วมค้า บิ๊ก บิลเลี่ยน จำกัด,firm
กรุ๊ป บจ.นันทตันติพัฒน์ จำกัด,firm
หจ.กลุ่มแปลงใหญ่ชันโรงปากพะยูน,firm
ต.แก้วแสน หจ.วิสาหกิจชุมชนแปลงใหญ่ผึ้งโพรงไทย ม.7 จำกัด,firm
บจ.พิมพ์ภาดา จำกัด,firm
แมชชีนเนอรี บจ.ลัคกี้ กู๊ด จำกัด,firm
ฟู้ด บจ.ไทเกอร์ จำกัด,firm
บจ.สุขสดชื่น64 จำกัด,firm
เชน บจ.พี.เค ดีลเลอร์ แอนด์ ซัพพลาย จำกัด,firm
เบาน้อย หจ.กลุ่มนาแปลงใหญ่ข้าว หมู่ 2 จำกัด,firm
เชียงใหม่ หจ.บางขวาง คาเฟ่ จำกัด,firm
เฮลธ์แคร์ บจ.รีเนสซานซ์ จำกัด,firm
โค บจ.เดอะ กู๊ด เอ้ก จำกัด,firm
การโยธา หจ.99 ร่ำรวย จำกัด,firm
เฮ้าส์ บจ.พี อาร์ แลนด์ แอนด์ จำกัด,firm
บจ.สามฑิต จำกัด,firm
ซัพพลาย บจ.นิว แซด จำกัด,firm
บจ.ไบโอแฟม จำกัด,firm
บจ.ส.สาครเอ็นเนอร์ยี่ จำกัด,firm
บจ.เกาะลัดแลนด์ จำกัด,firm
บจ.ทริปเปิ้ลเอชมิวสิค จำกัด,firm
หจ.จงปัตนาเจริญการโยธา,firm
หจ.บีแอนด์ทีอิมพอร์ท,firm
โปรดักชั่น บจ.เวิลด์ แม็กซ์ จำกัด,firm
ดีไซน์ บจ.จีบี อินทีเรีย แอนด์ จำกัด,firm
