name,Class
บจ.ดับเบิ้ลยู.เอ.ที เอ็มแอนด์อี คอนสตรัคชั่น ดีไซน์ 595 จำกัด,firm
บจ.ซาเล้งคาเฟ่ จำกัด,firm
บจ.วีแพลนท์ โกรว จำกัด,firm
บจ.ชาญรุ่งโรจน์ 2021 จำกัด,firm
บจ.แอฟ่า แมเนจเม้นท์ แอนด์ เซอร์วิส จำกัด,firm
บจ.แอสเตอร์ คอร์ปอเรชั่น จำกัด,firm
บจ.มาดี ทำดี 2021 จำกัด,firm
หจ.น้ำทรัพย์ เจริญโชคชัย,firm
บจ.เจนิส บิวตี้ แอนด์ เวลเนส จำกัด,firm
หจ.อะไหล่ มินิ คลาสสิค,firm
บจ.ต้า จุง จำกัด,firm
บจ.ที แอนด์ จี ภูเก็ต จำกัด,firm
หจ.ธิติชัย รับเหมาก่อสร้าง,firm
บจ.กำลังสองสมบูรณ์ จำกัด,firm
บจ.ออดิทและการบัญชี 3ดี จำกัด,firm
บจ.กังเชน อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,firm
บจ.สีดา289 โลจิสติกส์ จำกัด,firm
บจ.ภูชยา เครน คอนสตรัคชั่น จำกัด,firm
หจ.เป๋าตังค์ ทรัพย์ทวี,firm
บจ.แฮกเกอทัน โลจิสติกส์ จำกัด,firm
บจ.สเกาซ์ เทค จำกัด,firm
บจ.ไฮไลท์ การบัญชี จำกัด,firm
บจ.ทองคำ2018 ทรานสปอร์ต จำกัด,firm
บจ.ประธานการภาพ จำกัด,firm
บจ.เอส.พี. ส้มแป้น เอ็กซ์เพรส จำกัด,firm
หจ.ภัค ไลฟ์ ช็อป,firm
บจ.ทัพพสาร ล่ำซำ จำกัด,firm
หจ.หงษ์ทองเพิ่มทรัพย์ โลจิสติกส์,firm
บจ.กานต์ญ่า ไทยคูซีน จำกัด,firm
บจ.ส. รักษ์การพิมพ์ จำกัด,firm
หจ.เอ็น อาร์ ที ช็อป,firm
บจ.ทวินซิส จำกัด,firm
บจ.เรามีทรัพย์ จำกัด,firm
บจ.ฟีโน จำกัด,firm
บจ.ไอเอสโอ มาสเตอร์ จำกัด,firm
บจ.พราวด์ พรอซเพอร์ กรุ๊ป จำกัด,firm
หจ.วิสาหกิจชุมชนกลุ่มนาแปลงใหญ่หนองเขื่อง,firm
หจ.แปลงใหญ่มันสำปะหลัง บ้านหัวประแจ,firm
บจ.แบร์ แอนด์ เนเบอร์ ลอจิสติกส์ จำกัด,firm
บจ.ประพันธ์คอนสตรัคชั่น แอนด์ พร็อพเพอร์ตี้ จำกัด,firm
บจ.สยามออกแบบและก่อสร้าง จำกัด,firm
บจ.เอสเคแอล ซุปเปอร์ จำกัด,firm
หจ.บี แอนด์ เอ็ม เดอะ ริช พลัส,firm
หจ.โอ๋ทูเดย์ ครีเอทีฟ,firm
หจ.กรุงเทพการระบายน้ำ,firm
บจ.ดับเบิ้ลยูดี เคนซีย์ โฮลดิ้งส์ จำกัด,firm
หจ.เอ.ที.พี. สตอป ฮ็อท แอร์ เซอร์วิส,firm
บจ.วี ไวด เวฟ จำกัด,firm
หจ.เอส.ที.ดับเบิ้ลยู.1586,firm
หจ.แอร์พอร์ต การ์เด้น,firm
บจ.ดีบี เซฟ จำกัด,firm
บจ.อ่อนนุชรุ่งเรือง จำกัด,firm
หจ.ภูเขาใหญ่,firm
บจ.กมล เอ็นจิเนียริ่ง แอนด์ เซอร์วิส คอร์ปอเรชั่น จำกัด,firm
บจ.สยามดับเบิ้ลเค เอ็นจิเนียร์ริ่ง จำกัด,firm
หจ.แปลงใหญ่คำเจริญ หมู่ 2,firm
บจ.ซันไรส์ บูติค จำกัด,firm
หจ.ทรัพย์เอื้อ เกื้อกูล,firm
บจ.โคโค่ไลท์ อินเตอร์ จำกัด,firm
บจ.เก้ากฤษฎิ์ เอ็นจิเนียริ่ง จำกัด,firm
บจ.เลิฟ แบ็ก จำกัด,firm
หจ.เก้าเจ โปรดัคชั่น,firm
บจ.ฟีลล์ 2277 จำกัด,firm
บจ.เอไอ โกลบอล อินเตอร์เนชั่นแนล จำกัด,firm
บจ.เดอะซุปเปอร์ที จำกัด,firm
บจ.คิว สตูดิโอ 888 จำกัด,firm
บจ.เมดิแคร์ โซลูชั่นส์ จำกัด,firm
บจ.อินทรพรหม จำกัด,firm
บจ.จีแอนด์วาย เมืองน่านพืชผล จำกัด,firm
หจ.รุ่งเรืองกิจ 888,firm
บจ.เติมเต็ม อะกรีคัลเจอร์ จำกัด,firm
บจ.แปลงใหญ่ลำไยบ้านใหม่เสรีธรรมตาก จำกัด,firm
บจ.ลอส แองเจลิส คลาสลิค กีตาร์ (ประเทศไทย) จำกัด,firm
หจ.เค เอ็น วี. เทรดดิ้ง 2465,firm
หจ.เอ็นแอนด์บี 222 คอนสตรัคชั่น,firm
บจ.เอ็นทีดีเอช จำกัด,firm
บจ.เม้ง อลูมิเนียม การกระจก จำกัด,firm
บจ.ฮ็อบบี้ เดซี่ จำกัด,firm
บจ.เอสเจ กรีน เอนเนอร์ยี่ จำกัด,firm
บจ.วรัญญา แสนเฮง1718 จำกัด,firm
หจ.มั่งมี ฟู๊ด,firm
บจ.อาร์โก้ ทัวร์ ทราเวล เซอร์วิส จำกัด,firm
หจ.เจเคเค ชิปปิ้ง,firm
บจ.ดีดัง จำกัด,firm
บจ.8 คอมมิวนิเคชั่น จำกัด,firm
บจ.บลู สไมล์ ออน ลีฟ จำกัด,firm
บจ.ลูกชิ้น ซุปเปอร์บิ๊ก จำกัด,firm
หจ.ดิษย์ธนา,firm
บจ.เอฟดี แอนด์ เคชิปปิ้ง จำกัด,firm
บจ.นู แชปเตอร์ โฮเทลส์ จำกัด,firm
หจ.ส.ดวงเด่น โลจิสติกส์,firm
บจ.เคแอลที 2021 จำกัด,firm
บจ.ที.เอส. เอ็นจิเนียริ่ง 999 จำกัด,firm
บจ.ไทยราชาวดี จำกัด,firm
บจ.เดอะ เกรท  เจพี จำกัด,firm
บจ.ดร.ซีบีดี จำกัด,firm
บจ.ดีแอลพี อาคิเทคเจอร์ แอนด์ อินทีเรีย จำกัด,firm
บจ.วีแอล สตีล จำกัด,firm
บจ.ที แอนด์ ดี ฟอร์คลิฟท์ เซอร์วิส จำกัด,firm
บจ.ซีอีโอ แจ็คกี้ จำกัด,firm
บจ.ธนรัตน์ เคมีภัณฑ์ จำกัด,firm
หจ.ปิติ เพ็ทส์ แลนด์,firm
บจ.จอห์น ก่อสร้าง จำกัด,firm
บจ.แองเจิ้ล เอสเตท 89 จำกัด,firm
หจ.รังทรัพย์ เพิ่มพูน,firm
บจ.ลูกชิ้นปลาอาทร จำกัด,firm
หจ.ไอ.เอ็น.จี,firm
บจ.ลิตเติ้ลเอ็นเอ็นเอ็น จำกัด,firm
บจ.ฮารุรันมัน จำกัด,firm
บจ.แต้มทิพย์ จำกัด,firm
บจ.ดี.ดับบลิว. ทรานสปอร์ต จำกัด,firm
บจ.ชิกซ์ อินโนเวชั่น จำกัด,firm
บจ.อควาร่า อินเตอร์ กรุ๊ป จำกัด,firm
บจ.พิ้งค์ อินเตอร์ จำกัด,firm
บจ.เอื้อการย์ อินเตอร์เนชั่นแนล จำกัด,firm
บจ.เลิฟเวอร์ คอสเมติกส์ จำกัด,firm
บจ.วิตอัพ โกรว์ จำกัด,firm
บจ.แคทแนป แอท โฮม จำกัด,firm
บจ.วันลดา 2021 จำกัด,firm
หจ.ศรีธราพาณิชย์,firm
บจ.เดอ เบสท์ เมทัล เวิค จำกัด,firm
บจ.ยาง แอลเอ็นดับเบิ้ลยู จำกัด,firm
บจ.มินทร ออดิทติ้ง จำกัด,firm
หจ.เอ.พี.มาร์ท,firm
บจ.ทองเอไอ จำกัด,firm
บจ.เอส เค ออโต เทค จำกัด,firm
บจ.เจที 2021 จำกัด,firm
บจ.ฮีโร่ อินเทอร์วิว จำกัด,firm
บจ.วายทีที แฟมิลี่ จำกัด,firm
หจ.โรงสีชุมชนบ้านแสงทอง,firm
หจ.จีรวัฒน์ ทรานสปอร์ต,firm
บจ.ชลบุรี พลาสติกไทย จำกัด,firm
หจ.พีเอ็มเอฟ เทรดดิ้ง,firm
บจ.เอ เอ็น เอ สมุย จำกัด,firm
บจ.เมืองทองรุ่งเรือง จำกัด,firm
บจ.อาร์เจ อีเว้นท์ จำกัด,firm
บจ.เอพี พลัส (2021) จำกัด,firm
บจ.ธน คอนสตรัคชั่น แอนด์ เอ็นจิเนียริ่ง จำกัด,firm
บจ.บาลานซ์ ดิสทริบิวชั่น จำกัด,firm
บจ.นอซว เกาะช้าง จำกัด,firm
บจ.ศูนย์รวมของหลุดจำนำ จำกัด,firm
หจ.กำแพงแสนการบัญชี,firm
หจ.เอ.เอ็น.สปอร์ต ฟิตเนส,firm
บจ.เค.ที คอมพลีท ซีสเท็ม จำกัด,firm
หจ.แปลงใหญ่บ้านดอนหลี่หมู่ 4,firm
บจ.ระยอง อินดัสเทรียล โซลูชั่น  จำกัด,firm
หจ.แปลงใหญ่ข้าวไม้ตรา,firm
บจ.ช้างคู่ เซอร์วิส จำกัด,firm
หจ.หมูทองห้วยราช,firm
บจ.พี.เอ.พรีซิชั่น จำกัด,firm
บจ.สปอต แอคเคาน์ติ้ง จำกัด,firm
หจ.ศรีนุชเกษม ทรานสปอร์ต,firm
หจ.สีจะต๊ะ กรุ๊ป,firm
บจ.ไอเอชอีอี สตูดิโอ จำกัด,firm
หจ.บิ๊กบี เซอร์วิส,firm
บจ.ทรัพย์มังกร 888 จำกัด,firm
บจ.แฟบริค ปริ้นติ้ง สตูดิโอ จำกัด,firm
บจ.เทพธนธิป เอ็นจิเนียริ่ง& คอนสตรัคชั่น จำกัด,firm
บจ.มาไลก้า บี.เอ็ม.จี. จำกัด,firm
หจ.แสนศิริมงคล คอนสตรัคชั่น,firm
หจ.ไอริณ คาร์ฟ คอนสตรัคชั่น,firm
หจ.พีเคพี สตอเรจ เซอร์วิส,firm
บจ.เวลบลู จำกัด,firm
บจ.ช.เพิ่มผล จำกัด,firm
บจ.อีคาร์ โมบิลิตี้ จำกัด,firm
บจ.เอ็นบี ไวท์ จำกัด,firm
บจ.ฮาบิแทท เรนทอล แบงค็อก จำกัด,firm
หจ.ทู เอ็ม เอ็กซ์เพรส,firm
บจ.หิรัญเฮิร์บ เซลส์แอนด์เซอร์วิส จำกัด,firm
หจ.9 ดี โฮมคอนกรีต แอนด์ ซัพพลาย,firm
หจ.ป๋อมแป๋มเคมีเกษตร 2020,firm
บจ.โอภาส แอดวานซ์ จำกัด,firm
บจ.307 โฟลทเฮ้าส์  จำกัด,firm
บจ.ดีจีแอล โลจิสติกส์ จำกัด,firm
บจ.บีเค เซลล์แอนด์ซัพพอร์ต จำกัด,firm
บจ.ภูเก็ต เดคคอเรท จำกัด,firm
บจ.อาณาจักร พารวย จำกัด,firm
บจ.อินฟินิตี้ ฟอร์ซ เทคโนโลยี จำกัด,firm
บจ.ปัญจพล เบ็นเจิด จำกัด,firm
บจ.ซิน แย่ ต๋า เทรดดิ้ง จำกัด,firm
บจ.เอส แอล ที แซด กรุ๊ป จำกัด,firm
หจ.รันระนา คอนสตรัคชั่น,firm
บจ.อัมเบล จำกัด,firm
หจ.อริศ เนเจอร์ฟาร์ม,firm
หจ.เดชธิวัฒน์,firm
บจ.เกษตรแปลงใหญ่ท้ายทุ่ง จำกัด,firm
บจ.บิ๊กลิงค์ จำกัด,firm
หจ.ข้าวหอมมะลินาแปลงใหญ่พรมเทพเหนือ,firm
บจ.ฉมฉุย เรสโตรองต์ จำกัด,firm
หจ.กราฟ คอลเลคชั่น,firm
หจ.ส.สมบัติ รุ่งเรืองกิจ,firm
บจ.ทรัพย์ศีลสังวรณ์ จำกัด,firm
บจ.เอสวีอีวีมาร์ท จำกัด,firm
บจ.โคโค่ฮับส์ จำกัด,firm
บจ.จีอาร์ดี เซอร์วิส ซิสเต็ม จำกัด,firm
บจ.มาเอสโตร แดร์แอนด์ไวร์ แอดไวเซอร์ จำกัด,firm
บจ.คอนฟิเดนท์ เบรนส์ (ประเทศไทย) จำกัด,firm
หจ.เอส.เค.เอส.เอฟ กิจรุ่งเรือง,firm
บจ.อ๊อตเทริ เอ็ม เอส จำกัด,firm
บจ.กัลวรพงณ์ จำกัด,firm
บจ.ไลฟ์ อิส เวล จำกัด,firm
หจ.นาแปลงใหญ่บ้านหางแขยง,firm
หจ.ณัฐฐาน์ ช็อป,firm
บจ.เอ็มเอ็มพี โซลูชั่น จำกัด,firm
หจ.ก้องภพการช่าง,firm
หจ.วิสาหกิจชุมชนแปลงใหญ่อ้อย ต.ห้วยม่วง,firm
บจ.ทีแอนด์ที ไทยทำ จำกัด,firm
บจ.ชัชญาไพศาล ค้าวัสดุภัณฑ์1987 จำกัด,firm
บจ.304 พาวเวอร์ เมนเทนแนนซ์ แอนด์ เทสติ้ง จำกัด,firm
บจ.แบงคอก พาเดล จำกัด,firm
บจ.ลานนา ไซเคิล แอนด์ แคร์ริเอจ (ไทยแลนด์) จำกัด,firm
บจ.บิลด์เมท จำกัด,firm
หจ.นครพิงค์คูลลิ่ง,firm
หจ.อชิรัตน์โลจิสติกส์,firm
บจ.สกาย แอนด์ โอเชี่ยน อินเตอร์เนชั่นแนล จำกัด,firm
บจ.ทีเอ็ม แอด แอนด์มีเดีย จำกัด,firm
บจ.มหาสมุทร โลจิสติกส์  จำกัด,firm
หจ.ตันติบุตร,firm
บจ.ไอ อินเนอร์ จำกัด,firm
หจ.เคเอ็น ดีไซน์ เดคคอเรท,firm
บจ.เพื่อนกัญ ดีไซน์ แอนด์ คอนสตรัคชั่น จำกัด,firm
บจ.ภูมิสัมปะติ จำกัด,firm
บจ.ไลท์ กรีน คอนซัลแทนส์ จำกัด,firm
บจ.เท็น โลจิสติกส์ (ไทย) จำกัด,firm
หจ.ริสา ฟิวเจอร์ 2022,firm
หจ.ธนนิธิ 6395,firm
บจ.เดย์ แอนด์ ดรีม จำกัด,firm
หจ.วิสาหกิจชุมชนกลุ่มนาแปลงใหญ่บ้านไพจาน,firm
หจ.เอกกุลทรัพย์ 88,firm
หจ.สมเกียรติรุ่งเรืองก่อสร้าง,firm
บจ.บ็อกซ์ มาสเตอร์ คอเปอร์เรชั่น จำกัด,firm
หจ.รวยโรจน์ ค้าเหล็ก,firm
บจ.คน ช่วย คน วิสาหกิจเพื่อสังคม จำกัด,firm
หจ.วรัญดา ฟาร์ม,firm
บจ.ตามรอยพ่อ 2013 จำกัด,firm
บจ.นาสุวรรณ อีลีท จำกัด,firm
บจ.ซีณาย ทรานสปอร์ต จำกัด,firm
บจ.แพกซ์เซลส์แอนด์เซอร์วิส จำกัด,firm
บจ.เอ็นเอสเค พรอสเพอร์ จำกัด,firm
บจ.กรีนแลนด์เฮ้าส์ 168 จำกัด,firm
บจ.มาใหม่89 จำกัด,firm
บจ.ลาภมารุม  จำกัด,firm
บจ.ชาร์ม มี่ กรุ๊ป จำกัด,firm
บจ.แมดด็อกซ์ เอ็มดี จำกัด,firm
บจ.สามเกลอ เซอร์วิส จำกัด,firm
"หจ.แปลงใหญ่ข้าว กลุ่ม 1 หมู่ที่ 1,7 บ้านโพนยาง",firm
บจ.โคโคนัท เทค จำกัด,firm
บจ.พีเอ็นดี อีควิปเม้นท์ จำกัด,firm
บจ.ไลลยาณ์ เวนเจอร์ส จำกัด,firm
บจ.จิรภาเวลท์ จำกัด,firm
บจ.ทีบี ออดิท จำกัด,firm
บจ.รักษาความปลอดภัย พชรกฤต ซีเคียวริตี้ การ์ด จำกัด,firm
บจ.บีบี ทราเวลแอนด์เซอร์วิส จำกัด,firm
บจ.แปลงใหญ่ข้าวโพด ต.ห้วยเฮี้ย จำกัด,firm
บจ.วิชยานฤพล เทรดดิ้งแอนด์ทราเวล จำกัด,firm
บจ.อาร์ทไมน์ด อินเตอร์เนชั่นแนล จำกัด,firm
บจ.พีเคที โกล จำกัด,firm
บจ.ไท่หัว อินเตอร์ฟรุ๊ต จำกัด,firm
หจ.แปลงใหญ่ส้มเขียวหวานสีทอง ใหม่ เมือง เย็น,firm
หจ.ทรัพย์ธงชัย ฟาร์มเมอร์,firm
บจ.พีเอ็มซี เมดิคอลกรุ๊ป จำกัด,firm
บจ.อีคอมเมิร์ซ คอนซัลติ้ง เซอร์วิสเซส จำกัด,firm
บจ.เชียงใหม่ เรือนคำ คอนสตรัคชั่น จำกัด,firm
หจ.ไร่อ้อย สามสลึง,firm
บจ.เติมสุขโภคภัณฑ์ จำกัด,firm
บจ.พีดี แม่สายนมเด็ก จำกัด,firm
หจ.วู้ด กู๊ด เอฟ,firm
บจ.ไฮ่ ไท่ กรุ๊ป(ไทยแลนด์) จำกัด,firm
บจ.ศรีธนธีโรทัย จำกัด,firm
หจ.เอสดี สรามิกซ์ เซ็นเตอร์ เซล นครสวรรค์,firm
บจ.แคนดี้ กรุ๊ป จำกัด,firm
บจ.ไอที แสนสุขมหานคร จำกัด,firm
หจ.ธ ธนันชัย249,firm
หจ.ลภัสรดาเทรดดิ้ง,firm
หจ.ราชาสินค้าทดแทนไม้,firm
บจ.เภตรา ไลฟ์ จำกัด,firm
บจ.สแครมเบิ้ลด์ อาร์ต จำกัด,firm
หจ.ต.ต่อ ไข่สดฟาร์ม,firm
หจ.เฟรส จี โฮลดิ้ง,firm
บจ.เอสดับบลิวเค ทรานส์ฟอร์ม จำกัด,firm
บจ.แอคท์ เซอร์วิส เซ็นเตอร์ จำกัด,firm
บจ.โกลกรีน เวลเนส กรุ๊ป จำกัด,firm
หจ.ทีทีพี เครนขนส่ง,firm
บจ.แฮปปี้ เอ็กซ์เพรส โลจิสติกส์ จำกัด,firm
หจ.เพชรชะอำ ปิโตรเลียม,firm
บจ.กันกุล วินด์ พาวเวอร์ 9 จำกัด,firm
บจ.เดอะ ทีดับบลิว ซัน กรุ๊ป จำกัด,firm
หจ.จิดาภา ณรงค์ศักดิ์,firm
หจ.เอส เค ซิสเต็มส์ เน็ตเวิร์ค,firm
หจ.ยาวซังอะไหล่ยนต์,firm
หจ.เจมส์ ค้าผ้า,firm
บจ.แกรนด์ซัน โซลาร์ เอ็นเนอยี่ จำกัด,firm
บจ.เคพี แอดเวนเจอร์ จำกัด,firm
บจ.แบงค็อก ลีกัล แอนด์ แอดไวเซอรี่ จำกัด,firm
บจ.ท็อปเท็น การาจ จำกัด,firm
บจ.โอดับบลิวเค ซัพพลาย จำกัด,firm
หจ.เคแอนด์เค ซัพพลายส์,firm
หจ.สามมิตร การประเมิน,firm
หจ.กฤษณาพาณิชย์,firm
บจ.เกรทไอซ์สระบุรี จำกัด,firm
บจ.เบอร์ จำกัด,firm
บจ.นาคแก้ว  (2564) จำกัด,firm
บจ.ดีเอ็มควินเตสเซนซ์ จำกัด,firm
บจ.ไร่ชมวิมาน จำกัด,firm
บจ.โฟร์ วอลส์ สยาม จำกัด,firm
บจ.โอทีพี 2020 คอนสตรัคชั่น จำกัด,firm
บจ.หลานหลวง เอ็นเตอร์ไพรส์ จำกัด,firm
หจ.สิริมงคลเซอร์วิส(2015),firm
หจ.บีเอ็น แกรนด์,firm
บจ.   ที บี ดี ไอ จำกัด,firm
บจ.ศิริ ซัพพลาย แอนด์ เซอร์วิส จำกัด,firm
บจ.เลค วิว แอสเซทส์ จำกัด,firm
บจ.นีโอ โปรโลจิสติก จำกัด,firm
หจ.พีพีเอ คอนสตรัคชั่น ทีม,firm
บจ.บางกอก มาริฟานา จำกัด,firm
บจ.กู๊ด ดีล จัสทิส คอนซัลติ้ง จำกัด,firm
บจ.อารยา คุโบตะ อาร์คิเทคท์ จำกัด,firm
บจ.ไดม่อน คอสโม่ จำกัด,firm
หจ.น ใบบัวการก่อสร้าง,firm
หจ.วัชรภัทร์เซอร์วิส,firm
บจ.ชูเกียรติ อีวี จำกัด,firm
บจ.พี.ดี.เอ็น. ลามิเนต จำกัด,firm
บจ.เฟซแคร์เอสเธติก จำกัด,firm
บจ.420 กรีน เฮอร์ริเทจ จำกัด,firm
หจ.เอสทีพาวเวอร์ไลท์,firm
บจ.กิจการร่วมค้า บิ๊ก บิลเลี่ยน อีอาร์เอส จำกัด,firm
บจ.นันทตันติพัฒน์ กรุ๊ป จำกัด,firm
หจ.กลุ่มแปลงใหญ่ชันโรงปากพะยูน,firm
หจ.วิสาหกิจชุมชนแปลงใหญ่ผึ้งโพรงไทย ม.7 ต.แก้วแสน,firm
บจ.พิมพ์ภาดา จำกัด,firm
บจ.ลัคกี้ กู๊ด แมชชีนเนอรี จำกัด,firm
บจ.ไทเกอร์ ฟู้ด จำกัด,firm
บจ.สุขสดชื่น64 จำกัด,firm
บจ.พี.เค ดีลเลอร์ แอนด์ ซัพพลาย เชน จำกัด,firm
หจ.กลุ่มนาแปลงใหญ่ข้าว หมู่ 2 เบาน้อย,firm
หจ.บางขวาง คาเฟ่ เชียงใหม่,firm
บจ.รีเนสซานซ์ เฮลธ์แคร์ จำกัด,firm
บจ.เดอะ กู๊ด เอ้ก โค จำกัด,firm
หจ.99 ร่ำรวย การโยธา,firm
บจ.พี อาร์ แลนด์ แอนด์ เฮ้าส์  จำกัด,firm
บจ.สามฑิต จำกัด,firm
บจ.นิว แซด ซัพพลาย จำกัด,firm
บจ.ไบโอแฟม จำกัด,firm
บจ.ส.สาครเอ็นเนอร์ยี่ จำกัด,firm
บจ.เกาะลัดแลนด์ จำกัด,firm
บจ.ทริปเปิ้ลเอชมิวสิค จำกัด,firm
หจ.จงปัตนาเจริญการโยธา,firm
หจ.บีแอนด์ทีอิมพอร์ท,firm
บจ.เวิลด์ แม็กซ์ โปรดักชั่น จำกัด,firm
บจ.จีบี อินทีเรีย แอนด์ ดีไซน์ จำกัด,firm
บจ.เอสเธทิค ดีไซน์ สตูดิโอ จำกัด,firm
บจ.ธีระวัฒน์นิติ แอนด์ ฟาร์ม จำกัด,firm
บจ.แสงทอง รีฟริกเจอเรชั่น แอนด์ เซอร์วิส จำกัด,firm
บจ.บุญบรรจบ จำกัด,firm
บจ.จันทร์ดี ซีฟู้ด  จำกัด,firm
บจ.สเปเชียล เจมส์ จำกัด,firm
หจ.ไวตัส โกลบอล,firm
บจ.ฟลูฟาส ทรานสปอร์ต จำกัด,firm
หจ.สุขศิรินทร์,firm
หจ.ร่ำรวยนับทอง,firm
หจ.สิบเก้า ดี วิศวกรรม,firm
บจ.บราโบ ดัชท์ กรุ๊ป จำกัด,firm
บจ.ธ.ชัย ค้าวัสดุ จำกัด,firm
บจ.ทีอาร์พี  เซ็นเตอร์ จำกัด,firm
หจ.เรียวโกะ เนอสซิ่ง แคร์,firm
